iter	Passed	Remaining
0	85	85437
1	89	44411
2	93	31072
3	100	24905
4	105	20938
5	112	18589
6	116	16456
7	127	15827
8	131	14440
9	137	13585
10	145	13069
11	149	12349
12	157	11952
13	162	11453
14	173	11383
15	176	10869
16	182	10562
17	189	10361
18	200	10354
19	205	10050
20	213	9950
21	219	9763
22	226	9631
23	231	9417
24	238	9307
25	242	9090
26	250	9035
27	255	8864
28	258	8662
29	267	8638
30	275	8602
31	276	8359
32	281	8243
33	288	8190
34	291	8033
35	301	8081
36	306	7983
37	309	7837
38	315	7778
39	321	7710
40	328	7680
41	333	7603
42	342	7624
43	349	7585
44	355	7553
45	361	7504
46	368	7462
47	371	7363
48	375	7295
49	387	7355
50	390	7269
51	391	7139
52	402	7194
53	409	7173
54	412	7094
55	421	7101
56	427	7066
57	430	6995
58	437	6978
59	442	6932
60	448	6910
61	454	6877
62	464	6907
63	471	6889
64	479	6899
65	484	6861
66	488	6801
67	498	6832
68	501	6769
69	507	6741
70	514	6726
71	520	6703
72	529	6720
73	533	6677
74	538	6637
75	546	6648
76	552	6617
77	555	6565
78	558	6507
79	564	6497
80	569	6460
81	573	6421
82	579	6400
83	584	6369
84	591	6368
85	597	6355
86	602	6319
87	606	6290
88	615	6296
89	619	6268
90	625	6252
91	631	6229
92	635	6196
93	641	6187
94	645	6153
95	653	6158
96	658	6133
97	667	6145
98	671	6108
99	679	6113
100	683	6083
101	691	6083
102	695	6060
103	703	6059
104	708	6041
105	717	6054
106	723	6036
107	733	6057
108	738	6038
109	746	6038
110	752	6028
111	760	6033
112	765	6009
113	768	5975
114	777	5983
115	782	5962
116	793	5986
117	797	5957
118	804	5954
119	810	5942
120	813	5910
121	817	5883
122	825	5885
123	830	5866
124	837	5865
125	841	5835
126	846	5820
127	851	5797
128	855	5778
129	862	5770
130	866	5749
131	869	5715
132	875	5705
133	879	5685
134	886	5678
135	894	5683
136	898	5657
137	904	5648
138	908	5629
139	919	5646
140	922	5619
141	931	5627
142	936	5609
143	940	5587
144	946	5579
145	950	5558
146	954	5536
147	963	5546
148	979	5592
149	985	5582
150	1002	5634
151	1007	5621
152	1020	5650
153	1027	5642
154	1037	5658
155	1041	5632
156	1051	5643
157	1058	5641
158	1063	5624
159	1070	5621
160	1077	5615
161	1083	5604
162	1092	5610
163	1098	5601
164	1108	5608
165	1113	5591
166	1123	5602
167	1129	5592
168	1133	5575
169	1140	5567
170	1145	5554
171	1153	5551
172	1157	5533
173	1161	5514
174	1171	5521
175	1176	5508
176	1187	5521
177	1195	5522
178	1200	5507
179	1203	5483
180	1211	5481
181	1215	5464
182	1224	5467
183	1230	5458
184	1240	5465
185	1250	5471
186	1254	5454
187	1265	5463
188	1271	5458
189	1280	5460
190	1286	5449
191	1295	5450
192	1303	5450
193	1307	5432
194	1312	5418
195	1320	5418
196	1328	5416
197	1336	5412
198	1341	5398
199	1351	5406
200	1356	5392
201	1360	5373
202	1367	5368
203	1371	5352
204	1375	5335
205	1379	5317
206	1382	5295
207	1391	5296
208	1395	5283
209	1400	5267
210	1404	5252
211	1407	5232
212	1414	5226
213	1418	5211
214	1423	5197
215	1428	5186
216	1435	5178
217	1440	5166
218	1448	5165
219	1453	5151
220	1458	5139
221	1464	5131
222	1470	5122
223	1476	5113
224	1483	5108
225	1488	5097
226	1494	5090
227	1500	5081
228	1512	5091
229	1516	5077
230	1525	5076
231	1529	5061
232	1532	5045
233	1535	5026
234	1540	5014
235	1548	5012
236	1552	4999
237	1556	4984
238	1564	4981
239	1569	4970
240	1578	4971
241	1582	4955
242	1589	4951
243	1597	4949
244	1600	4932
245	1606	4922
246	1615	4925
247	1619	4910
248	1626	4906
249	1629	4889
250	1633	4873
251	1639	4866
252	1648	4867
253	1652	4854
254	1660	4850
255	1665	4840
256	1671	4831
257	1679	4829
258	1684	4818
259	1690	4811
260	1695	4800
261	1704	4800
262	1709	4789
263	1712	4773
264	1719	4767
265	1722	4754
266	1729	4747
267	1732	4732
268	1738	4723
269	1748	4726
270	1751	4712
271	1760	4712
272	1767	4706
273	1775	4703
274	1781	4695
275	1789	4694
276	1795	4685
277	1802	4682
278	1809	4675
279	1816	4672
280	1821	4661
281	1823	4643
282	1832	4642
283	1837	4632
284	1844	4626
285	1849	4617
286	1855	4609
287	1858	4594
288	1864	4586
289	1871	4581
290	1876	4571
291	1882	4564
292	1888	4556
293	1894	4550
294	1898	4538
295	1905	4531
296	1908	4518
297	1912	4505
298	1920	4502
299	1924	4489
300	1931	4484
301	1937	4476
302	1944	4472
303	1947	4458
304	1955	4454
305	1958	4441
306	1968	4444
307	1976	4440
308	1987	4443
309	1991	4432
310	1999	4430
311	2002	4416
312	2007	4407
313	2017	4407
314	2025	4404
315	2033	4402
316	2039	4393
317	2046	4388
318	2052	4382
319	2056	4369
320	2064	4365
321	2072	4363
322	2078	4357
323	2084	4349
324	2092	4345
325	2095	4331
326	2103	4329
327	2109	4321
328	2117	4319
329	2124	4312
330	2128	4302
331	2135	4296
332	2138	4284
333	2141	4271
334	2148	4264
335	2152	4252
336	2157	4245
337	2163	4237
338	2168	4229
339	2174	4221
340	2180	4212
341	2188	4211
342	2192	4199
343	2196	4187
344	2204	4185
345	2209	4176
346	2213	4165
347	2221	4161
348	2226	4152
349	2232	4146
350	2236	4134
351	2244	4131
352	2251	4126
353	2257	4119
354	2262	4110
355	2267	4101
356	2274	4096
357	2277	4084
358	2284	4078
359	2291	4073
360	2303	4076
361	2309	4069
362	2317	4066
363	2324	4061
364	2328	4051
365	2332	4039
366	2341	4037
367	2345	4027
368	2353	4024
369	2357	4014
370	2369	4017
371	2374	4008
372	2377	3995
373	2381	3986
374	2389	3982
375	2397	3979
376	2403	3971
377	2409	3965
378	2414	3955
379	2421	3950
380	2425	3939
381	2435	3939
382	2439	3930
383	2442	3918
384	2447	3910
385	2452	3900
386	2463	3901
387	2466	3890
388	2472	3882
389	2479	3877
390	2482	3866
391	2489	3860
392	2492	3850
393	2498	3843
394	2508	3842
395	2513	3833
396	2517	3824
397	2528	3824
398	2533	3816
399	2538	3808
400	2544	3801
401	2554	3799
402	2559	3792
403	2566	3785
404	2572	3778
405	2583	3779
406	2586	3768
407	2595	3765
408	2600	3758
409	2604	3747
410	2611	3743
411	2616	3733
412	2624	3730
413	2629	3722
414	2638	3719
415	2642	3709
416	2647	3701
417	2651	3691
418	2654	3680
419	2662	3676
420	2667	3667
421	2674	3662
422	2679	3654
423	2685	3648
424	2690	3640
425	2695	3631
426	2702	3626
427	2706	3617
428	2714	3613
429	2718	3603
430	2728	3601
431	2732	3593
432	2737	3584
433	2740	3573
434	2743	3563
435	2753	3561
436	2759	3554
437	2767	3551
438	2772	3542
439	2779	3537
440	2785	3530
441	2789	3521
442	2794	3513
443	2799	3505
444	2810	3505
445	2817	3499
446	2825	3495
447	2832	3490
448	2842	3488
449	2846	3479
450	2857	3478
451	2864	3472
452	2868	3463
453	2873	3455
454	2879	3448
455	2884	3440
456	2892	3436
457	2901	3433
458	2905	3424
459	2910	3417
460	2918	3412
461	2923	3404
462	2934	3402
463	2938	3395
464	2945	3389
465	2950	3381
466	2954	3372
467	2961	3366
468	2967	3359
469	2973	3352
470	2980	3347
471	2989	3343
472	2996	3338
473	3004	3334
474	3012	3330
475	3016	3320
476	3023	3315
477	3030	3309
478	3035	3301
479	3038	3291
480	3044	3284
481	3048	3276
482	3055	3270
483	3059	3261
484	3067	3257
485	3072	3249
486	3080	3245
487	3085	3237
488	3097	3236
489	3100	3226
490	3104	3218
491	3113	3214
492	3118	3206
493	3125	3201
494	3129	3192
495	3140	3191
496	3148	3186
497	3152	3178
498	3156	3169
499	3163	3163
500	3167	3154
501	3169	3144
502	3173	3136
503	3178	3128
504	3183	3120
505	3189	3113
506	3192	3104
507	3199	3099
508	3204	3091
509	3213	3087
510	3217	3079
511	3225	3074
512	3229	3065
513	3236	3060
514	3241	3052
515	3245	3043
516	3251	3037
517	3256	3029
518	3263	3024
519	3267	3016
520	3273	3009
521	3276	3000
522	3283	2994
523	3287	2986
524	3292	2979
525	3301	2975
526	3306	2967
527	3313	2961
528	3315	2952
529	3321	2945
530	3329	2940
531	3340	2938
532	3346	2931
533	3355	2928
534	3359	2920
535	3363	2911
536	3376	2911
537	3386	2907
538	3392	2901
539	3399	2895
540	3402	2887
541	3407	2879
542	3414	2874
543	3418	2865
544	3426	2860
545	3430	2852
546	3435	2845
547	3444	2841
548	3454	2838
549	3459	2830
550	3467	2825
551	3472	2818
552	3479	2812
553	3483	2804
554	3488	2796
555	3497	2792
556	3501	2784
557	3511	2781
558	3515	2773
559	3518	2764
560	3524	2757
561	3529	2750
562	3536	2745
563	3541	2737
564	3547	2731
565	3550	2722
566	3556	2716
567	3563	2710
568	3568	2703
569	3573	2696
570	3579	2689
571	3586	2683
572	3591	2676
573	3598	2670
574	3604	2663
575	3611	2658
576	3616	2650
577	3619	2642
578	3626	2636
579	3631	2629
580	3639	2625
581	3644	2617
582	3650	2610
583	3655	2604
584	3662	2598
585	3666	2590
586	3677	2587
587	3680	2579
588	3685	2571
589	3691	2565
590	3696	2558
591	3703	2552
592	3708	2545
593	3715	2539
594	3720	2532
595	3727	2526
596	3731	2518
597	3736	2512
598	3745	2507
599	3749	2499
600	3756	2493
601	3759	2485
602	3764	2478
603	3772	2473
604	3776	2465
605	3785	2461
606	3788	2452
607	3795	2447
608	3802	2441
609	3809	2435
610	3813	2428
611	3819	2421
612	3825	2415
613	3829	2407
614	3839	2403
615	3843	2395
616	3849	2389
617	3854	2382
618	3862	2377
619	3869	2371
620	3877	2366
621	3883	2360
622	3896	2357
623	3901	2350
624	3909	2345
625	3912	2337
626	3916	2330
627	3924	2324
628	3928	2316
629	3931	2309
630	3937	2302
631	3942	2295
632	3947	2288
633	3951	2281
634	3955	2273
635	3964	2268
636	3968	2261
637	3973	2254
638	3983	2250
639	3989	2243
640	3996	2238
641	4000	2230
642	4005	2223
643	4011	2217
644	4016	2210
645	4021	22036646	4025	21966647	4031	21906648	4040	21856649	4045	21786650	4052	2172654	4165	2193
655	4170	2187
6653	4068	21526654	4076	21476655	4081	2140659	4194	2160
6657	4091	2126661	4209	2149
662	4214	2142
663	4219	2135
664	4232	2132
665	4238	2125
666	4247	2120
667	4252	2113
668	4257	2106
669	4264	2100
670	4271	2094
671	4277	2088
672	4285	2082
673	4289	2074
674	4295	2068
675	4306	2063
676	4310	2056
677	4320	2051
678	4325	2044
679	4335	2040
680	4338	2032
681	4347	2027
682	4352	2020
683	4358	2013
684	4363	2006
685	4370	2000
686	4375	1993
687	4378	1985
688	4385	1979
6686	4281	1950690	4398	1967
691	4403	1959
6689	4301	1932693	4415	1946
6691	4314	19206692	4319	19136693	4325	1907697	4436	1919
698	4444	1913
699	4449	1906
700	4458	1901
701	4462	1894
702	4470	1888
703	4473	1880
704	4478	1874
705	4487	1868
706	4497	1863
707	4502	1857
708	4509	1850
709	4514	1844
710	4521	1837
711	4525	1830
712	4536	1825
713	4542	1819
714	4549	1813
715	4554	1806
716	4559	1799
717	4567	1794
718	4575	1788
719	4580	1781
720	4589	1775
721	4594	1768
722	4601	1763
723	4609	1757
724	4612	1749
725	4616	1742
726	4624	1736
727	4628	1729
728	4635	1723
729	4641	1716
730	4647	1710
731	4652	1703
732	4659	1697
733	4664	1690
734	4670	1684
735	4674	1676
736	4678	1669
737	4686	1663
738	4691	1657
739	4697	1650
740	4701	1643
741	4706	1636
742	4714	1630
743	4718	1623
744	4726	1617
745	4732	1611
746	4739	1605
747	4745	1598
748	4755	1593
749	4767	1589
750	4770	1581
751	4774	1574
752	4788	1570
753	4799	1565
754	4804	1559
755	4810	1552
756	4815	1545
757	4820	1538
758	4828	1533
759	4832	1525
760	4840	1520
761	4844	1513
762	4853	1507
763	4857	1500
764	4865	1494
765	4870	1487
766	4878	1482
767	4883	1475
768	4892	1469
769	4895	1462
770	4900	1455
771	4908	1449
772	4913	1442
773	4921	1436
774	4928	1430
775	4937	1425
776	4941	1418
777	4946	1411
778	4954	1405
779	4959	1398
780	4968	1393
781	4973	1386
782	4982	1380
783	4987	1374
784	4995	1368
785	4999	1361
786	5005	1354
787	5016	1349
788	5024	1343
789	5030	1337
790	5037	1330
791	5042	1324
792	5050	1318
793	5057	1312
794	5065	1306
795	5071	1299
796	5079	1293
797	5086	1287
798	5097	1282
799	5102	1275
800	5108	1269
801	5113	1262
802	5122	1256
803	5126	1249
804	5130	1242
805	5136	1236
806	5141	1229
807	5148	1223
808	5153	1216
809	5158	1210
810	5164	1203
811	5170	1197
812	5174	1190
813	5182	1184
814	5188	1177
815	5195	1171
816	5200	1164
817	5206	1158
818	5210	1151
819	5214	1144
820	5222	1138
821	5230	1132
822	5235	1125
823	5239	1119
824	5248	1113
825	5253	1106
826	5259	1100
827	5265	1093
828	5274	1087
829	5281	1081
830	5290	1075
831	5295	1069
832	5304	1063
833	5309	1056
834	5317	1050
835	5323	1044
836	5331	1038
837	5335	1031
838	5340	1024
839	5347	1018
840	5357	1012
841	5363	1006
842	5369	1000
843	5373	993
844	5383	987
845	5388	980
846	5402	975
847	5408	969
848	5417	963
849	5421	956
850	5430	950
851	5436	944
852	5445	938
853	5450	931
854	5458	925
855	5461	918
856	5466	912
857	5470	905
858	5477	899
859	5481	892
860	5487	885
861	5493	879
862	5499	873
863	5503	866
864	5514	860
865	5519	853
866	5529	848
867	5538	842
868	5543	835
869	5554	829
870	5559	823
871	5568	817
872	5574	810
873	5585	805
874	5593	799
875	5600	792
876	5606	786
877	5612	779
878	5617	773
879	5623	766
880	5631	760
881	5635	753
882	5638	747
883	5649	741
884	5655	734
885	5662	728
886	5667	722
887	5679	716
888	5683	709
889	5688	703
890	5695	696
891	5703	690
892	5707	683
893	5715	677
894	5718	670
895	5725	664
896	5730	658
897	5735	651
898	5744	645
899	5750	638
900	5755	632
901	5759	625
902	5763	619
903	5767	612
904	5773	606
905	5779	599
906	5785	593
907	5789	586
908	5794	580
909	5804	574
910	5811	567
911	5817	561
912	5824	554
913	5829	548
914	5837	542
915	5843	535
916	5852	529
917	5858	523
918	5863	516
919	5867	510
920	5871	503
921	5879	497
922	5882	490
923	5888	484
924	5893	477
925	5905	471
926	5911	465
927	5919	459
928	5926	452
929	5930	446
930	5935	439
931	5944	433
932	5951	427
933	5958	421
934	5963	414
935	5970	408
936	5974	401
937	5981	395
938	5985	388
939	5990	382
940	5999	376
941	6004	369
942	6014	363
943	6018	357
944	6027	350
945	6032	344
946	6043	338
947	6048	331
948	6051	325
949	6058	318
950	6063	312
951	6072	306
952	6084	300
953	6090	293
954	6101	287
955	6106	281
956	6118	274
957	6123	268
958	6132	262
959	6137	255
960	6143	249
961	6149	242
962	6153	236
963	6161	230
964	6166	223
965	6175	217
966	6179	210
967	6188	204
968	6192	198
969	6197	191
970	6203	185
971	6207	178
972	6213	172
973	6217	165
974	6222	159
975	6228	153
976	6232	146
977	6237	140
978	6241	133
979	6246	127
980	6252	121
981	6255	114
982	6259	108
983	6263	101
984	6267	95
985	6271	89
986	6274	82
987	6279	76
988	6282	69
989	6286	63
990	6289	57
991	6292	50
992	6296	44
993	6299	38
994	6302	31
995	6303	25
996	6305	18
997	6307	12
998	6309	6
999	6310	0
	18
997	6155	12
998	6158	6
999	6162	0
